code,num
C1072,717.9206301577971
C1128,1350.3318236705447
C1456,520.2738367474806
C1840,451.51354420623295
C1332,1196.4831617204904
C1563,1996.112511594889
C1794,1053.588661741305
C1640,601.3866048819089
C1377,250.6248153565862
C2072,263.45047813318126
C1472,472.9698871742803
C1006,198.6203476342534
C1083,399.52667305233655
C1311,232.5776628383562
C2676,229.83148488299295
C2318,212.31315845574517
C1603,524.8824940441474
C2523,443.39432797771195
C2177,161.04507168735256
C2411,639.3095883459068
C2033,204.01464840994518
C1604,342.4183146439619
C2535,432.8915793302342
C1040,390.96545880616316
C2417,395.06278415511065
C1812,106.68764429637086
C2253,117.64536527099838
C1294,601.9921831924631
C1772,499.60870099555433
C2646,513.6564003672811
C1152,936.363364238004
C2423,166.23986203190407
C1844,499.02584349173947
C1318,226.07949730587575
C1729,117.01598943581284
C1602,322.5839628330205
C1239,380.215270699385
C1721,564.74458913687
C1902,798.8649135314749
C1855,270.92199126920923
C2600,358.69101210539617
C1071,480.8309087363837
C2295,505.9445349691797
C1621,603.3069319879125
C1852,879.3122805617041
C2555,1429.4888738185773
C1297,457.1714338965028
C2323,609.8978790948545
C2215,407.02003863704033
C2112,372.8872252911225
C1830,744.0793011729236
C2602,250.60753130822786
C2608,940.7645149154464
C1215,536.1624566707394
C2369,592.7742719643737
C1158,233.56484703589217
C1887,685.3601730301123
C1189,221.9951825450487
C1637,412.8886846161728
C1225,195.3640622124927
C2374,319.06144015002997
C2397,603.3497086150113
C1105,985.3338978346916
C1782,458.84404795999063
C1629,228.688034810907
C1708,279.94137261278945
C2144,483.4924335007722
C1617,770.5417048745942
C1149,510.15320240884716
C1323,375.8961405417033
C1064,613.5656621768176
C1019,261.4359538003566
C2269,587.5885781040666
C1416,948.7023994229836
C1250,1000.8904102020555
C1741,446.5178277439943
C1016,592.8624138343351
C2675,
C2436,624.7299802956716
C2039,932.8959651686966
C1253,840.263033990045
C2028,1230.8177663029514
C1166,307.004842145418
C1135,216.53293887967385
C1216,286.7030808037239
C1593,190.81313709631186
C1826,196.08970930795658
C1827,398.94698353041264
C1564,291.36401435348
C1495,814.791081680683
C2653,943.7948938307337
C1392,683.9656796729718
C2128,288.67365598279946
C1282,570.324738351931
C1521,1126.4843615600475
C2076,978.099730062787
C1060,612.1894292471914
C2473,1200.3929287724882
C2557,666.6290432170142
C1835,814.7820686574436
C2224,571.0883128496063
C2222,378.2288667265573
C2430,746.4757205705663
C2497,714.6940114717306
C1494,1104.7521221089144
C1457,511.0234306720577
C1525,1192.4617884947202
C1712,705.4358805372017
C2267,928.8112115359141
C1623,318.29003229135026
C2131,566.7275609054891
C2691,1138.9408516461767
C1147,775.8071115367068
C1692,997.1846371012709
C1570,810.4799782508094
C1474,118.89411219436498
C1633,138.63552176264318
C2113,560.1094824568042
C2175,960.8188787658884
C2303,1622.927684430141
C2547,523.305007980874
C2292,693.05802629537
C1496,824.1277511333877
C1289,300.2862881277372
C1849,630.3613560224643
C1003,205.99370259417444
C2268,335.77509382453945
C2551,499.04433144374644
C2688,78.54692228828036
C1030,28.588372954594526
C1327,
C2451,611.910489846765
C1749,431.8069418431587
C1349,250.75085587887293
C2043,205.73933780782048
C1229,244.16360654289244
C2363,429.4575892281974
C1414,358.0463163901103
C2174,352.00263224058295
C2091,95.484753341697
C2335,
C1841,48.39275679633958
C2404,116.77412028077539
C1683,160.1305529196952
C1038,345.8880866834278
C2456,251.95590991686723
C1266,394.7305392851305
C2152,23.60156775358514
C1267,333.0631809229584
C2189,166.47653928047694
